SPN,FMI,Başlık (TR),Alt Sistem,PGN,FMI Tanımı,Öncelik,Saha Adımı
1761,18,AdBlue / DEF Sıvı Tankı Seviyesi - Veri normalin altında (Orta Seviye - Tork Sınırlandırma),SCR / AdBlue Sıvı Depolama,65110 (AT1T1I),Data Valid But Below Normal - Moderate Severity,MEDIUM,"Dozaj pompası, hava tahrik valfi veya debi kısıtlamalarını giderin."
3031,0,AdBlue / DEF Sıvı Tankı Sıcaklığı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),SCR / AdBlue Donma Koruması,65110 (AT1T1I),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
3031,1,AdBlue / DEF Sıvı Tankı Sıcaklığı - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),SCR / AdBlue Donma Koruması,65110 (AT1T1I),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
3031,3,AdBlue / DEF Sıvı Tankı Sıcaklığı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,SCR / AdBlue Donma Koruması,65110 (AT1T1I),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
3031,4,AdBlue / DEF Sıvı Tankı Sıcaklığı - Voltaj normalin altında veya şasiye (GND) kısa devre,SCR / AdBlue Donma Koruması,65110 (AT1T1I),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
651,3,1. Silindir Yakıt Enjektörü - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yakıt Enjeksiyonu (Silindir 1),65261 (FED2),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
651,4,1. Silindir Yakıt Enjektörü - Voltaj normalin altında veya şasiye (GND) kısa devre,Yakıt Enjeksiyonu (Silindir 1),65261 (FED2),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
651,5,1. Silindir Yakıt Enjektörü - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),Yakıt Enjeksiyonu (Silindir 1),65261 (FED2),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
651,6,1. Silindir Yakıt Enjektörü - Akım normalin üzerinde veya devre şasiye aşırı yüklenmiş,Yakıt Enjeksiyonu (Silindir 1),65261 (FED2),Current Above Normal Or Grounded Circuit,LOW,Bobin sargısında dahili izolasyon delinmesi veya aktüatör mekanik sıkışması kontrolü yapın.
651,7,1. Silindir Yakıt Enjektörü - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Yakıt Enjeksiyonu (Silindir 1),65261 (FED2),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
652,3,2. Silindir Yakıt Enjektörü - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yakıt Enjeksiyonu (Silindir 2),65261 (FED2),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
652,4,2. Silindir Yakıt Enjektörü - Voltaj normalin altında veya şasiye (GND) kısa devre,Yakıt Enjeksiyonu (Silindir 2),65261 (FED2),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
652,5,2. Silindir Yakıt Enjektörü - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),Yakıt Enjeksiyonu (Silindir 2),65261 (FED2),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
652,6,2. Silindir Yakıt Enjektörü - Akım normalin üzerinde veya devre şasiye aşırı yüklenmiş,Yakıt Enjeksiyonu (Silindir 2),65261 (FED2),Current Above Normal Or Grounded Circuit,LOW,Bobin sargısında dahili izolasyon delinmesi veya aktüatör mekanik sıkışması kontrolü yapın.
652,7,2. Silindir Yakıt Enjektörü - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Yakıt Enjeksiyonu (Silindir 2),65261 (FED2),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
653,3,3. Silindir Yakıt Enjektörü - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yakıt Enjeksiyonu (Silindir 3),65261 (FED2),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
653,4,3. Silindir Yakıt Enjektörü - Voltaj normalin altında veya şasiye (GND) kısa devre,Yakıt Enjeksiyonu (Silindir 3),65261 (FED2),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
653,5,3. Silindir Yakıt Enjektörü - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),Yakıt Enjeksiyonu (Silindir 3),65261 (FED2),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
653,6,3. Silindir Yakıt Enjektörü - Akım normalin üzerinde veya devre şasiye aşırı yüklenmiş,Yakıt Enjeksiyonu (Silindir 3),65261 (FED2),Current Above Normal Or Grounded Circuit,LOW,Bobin sargısında dahili izolasyon delinmesi veya aktüatör mekanik sıkışması kontrolü yapın.
653,7,3. Silindir Yakıt Enjektörü - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Yakıt Enjeksiyonu (Silindir 3),65261 (FED2),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
654,3,4. Silindir Yakıt Enjektörü - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yakıt Enjeksiyonu (Silindir 4),65261 (FED2),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
654,4,4. Silindir Yakıt Enjektörü - Voltaj normalin altında veya şasiye (GND) kısa devre,Yakıt Enjeksiyonu (Silindir 4),65261 (FED2),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
654,5,4. Silindir Yakıt Enjektörü - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),Yakıt Enjeksiyonu (Silindir 4),65261 (FED2),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
654,6,4. Silindir Yakıt Enjektörü - Akım normalin üzerinde veya devre şasiye aşırı yüklenmiş,Yakıt Enjeksiyonu (Silindir 4),65261 (FED2),Current Above Normal Or Grounded Circuit,LOW,Bobin sargısında dahili izolasyon delinmesi veya aktüatör mekanik sıkışması kontrolü yapın.
654,7,4. Silindir Yakıt Enjektörü - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Yakıt Enjeksiyonu (Silindir 4),65261 (FED2),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
655,3,5. Silindir Yakıt Enjektörü - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yakıt Enjeksiyonu (Silindir 5),65261 (FED2),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
655,4,5. Silindir Yakıt Enjektörü - Voltaj normalin altında veya şasiye (GND) kısa devre,Yakıt Enjeksiyonu (Silindir 5),65261 (FED2),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
655,5,5. Silindir Yakıt Enjektörü - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),Yakıt Enjeksiyonu (Silindir 5),65261 (FED2),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
655,6,5. Silindir Yakıt Enjektörü - Akım normalin üzerinde veya devre şasiye aşırı yüklenmiş,Yakıt Enjeksiyonu (Silindir 5),65261 (FED2),Current Above Normal Or Grounded Circuit,LOW,Bobin sargısında dahili izolasyon delinmesi veya aktüatör mekanik sıkışması kontrolü yapın.
655,7,5. Silindir Yakıt Enjektörü - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Yakıt Enjeksiyonu (Silindir 5),65261 (FED2),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
656,3,6. Silindir Yakıt Enjektörü - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yakıt Enjeksiyonu (Silindir 6),65261 (FED2),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
656,4,6. Silindir Yakıt Enjektörü - Voltaj normalin altında veya şasiye (GND) kısa devre,Yakıt Enjeksiyonu (Silindir 6),65261 (FED2),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
656,5,6. Silindir Yakıt Enjektörü - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),Yakıt Enjeksiyonu (Silindir 6),65261 (FED2),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
656,6,6. Silindir Yakıt Enjektörü - Akım normalin üzerinde veya devre şasiye aşırı yüklenmiş,Yakıt Enjeksiyonu (Silindir 6),65261 (FED2),Current Above Normal Or Grounded Circuit,LOW,Bobin sargısında dahili izolasyon delinmesi veya aktüatör mekanik sıkışması kontrolü yapın.
656,7,6. Silindir Yakıt Enjektörü - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Yakıt Enjeksiyonu (Silindir 6),65261 (FED2),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
84,2,"Tekerlek Tabanlı Araç Hızı (Takograf/TCM) - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Şanzıman & Hız Algılama,65265 (CCVS1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
84,8,"Tekerlek Tabanlı Araç Hızı (Takograf/TCM) - Anormal frekans, darbe genişliği (PWM) veya periyot",Şanzıman & Hız Algılama,65265 (CCVS1),Abnormal Frequency Or Pulse Width Or Period,LOW,Osiloskop ile PWM sinyal doluluk oranını (Duty Cycle) ve gürültü seviyesini inceleyin.
84,9,Tekerlek Tabanlı Araç Hızı (Takograf/TCM) - Anormal veri güncelleme hızı (CAN Zaman Aşımı),Şanzıman & Hız Algılama,65265 (CCVS1),Abnormal Update Rate,LOW,Sensör veya kaynak modülün CAN-Bus hattına bağlı olduğunu ve adres aldığını (Address Claim) doğrulayın.
84,19,Tekerlek Tabanlı Araç Hızı (Takograf/TCM) - Ağdan hatalı veri alındı (CAN Mesaj Bozulması),Şanzıman & Hız Algılama,65265 (CCVS1),Received Network Data In Error,LOW,Veri yolunda 120Ω hat sonlandırma direncini ve CAN-H/CAN-L sinyal gürültüsünü test edin.
96,1,Yakıt Deposu Seviyesi 1 - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Yakıt Seviyesi & Şamandıra,65276 (DD),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
96,3,Yakıt Deposu Seviyesi 1 - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yakıt Seviyesi & Şamandıra,65276 (DD),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
96,4,Yakıt Deposu Seviyesi 1 - Voltaj normalin altında veya şasiye (GND) kısa devre,Yakıt Seviyesi & Şamandıra,65276 (DD),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
96,17,Yakıt Deposu Seviyesi 1 - Veri normalin altında (Hafif Uyarı Seviyesi),Yakıt Seviyesi & Şamandıra,65276 (DD),Data Valid But Below Normal - Least Severe Level,LOW,Sistem basınç regülatörünü ve filtre tıkanıklığını kontrol edin.
97,0,Yakıtta Su Göstergesi / Sensörü - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Yakıt Filtrasyonu & Ön Ayırıcı,65279 (WFI),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
97,3,Yakıtta Su Göstergesi / Sensörü - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yakıt Filtrasyonu & Ön Ayırıcı,65279 (WFI),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
97,4,Yakıtta Su Göstergesi / Sensörü - Voltaj normalin altında veya şasiye (GND) kısa devre,Yakıt Filtrasyonu & Ön Ayırıcı,65279 (WFI),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
97,15,Yakıtta Su Göstergesi / Sensörü - Veri normalin üzerinde (Hafif Uyarı Seviyesi),Yakıt Filtrasyonu & Ön Ayırıcı,65279 (WFI),Data Valid But Above Normal - Least Severe Level,LOW,Filtre ve soğutma temizliği yapın; sistem henüz arıza lambası yakmamış olabilir.
98,1,Motor Yağ Seviyesi - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Motor Yağlama Sistemi (J1939),65263 (EFL_P1),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
98,3,Motor Yağ Seviyesi - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Motor Yağlama Sistemi (J1939),65263 (EFL_P1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
98,4,Motor Yağ Seviyesi - Voltaj normalin altında veya şasiye (GND) kısa devre,Motor Yağlama Sistemi (J1939),65263 (EFL_P1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
98,17,Motor Yağ Seviyesi - Veri normalin altında (Hafif Uyarı Seviyesi),Motor Yağlama Sistemi (J1939),65263 (EFL_P1),Data Valid But Below Normal - Least Severe Level,LOW,Sistem basınç regülatörünü ve filtre tıkanıklığını kontrol edin.
105,0,Emme Manifoldu Hava Sıcaklığı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Hava Emiş & Turbo Basıncı,65270 (ET1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
105,3,Emme Manifoldu Hava Sıcaklığı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Hava Emiş & Turbo Basıncı,65270 (ET1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
105,4,Emme Manifoldu Hava Sıcaklığı - Voltaj normalin altında veya şasiye (GND) kısa devre,Hava Emiş & Turbo Basıncı,65270 (ET1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
105,16,Emme Manifoldu Hava Sıcaklığı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Hava Emiş & Turbo Basıncı,65270 (ET1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
111,1,Motor Soğutma Suyu Seviyesi - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Motor Soğutma & Termal Yönetim,65263 (EFL_P1),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
111,3,Motor Soğutma Suyu Seviyesi - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Motor Soğutma & Termal Yönetim,65263 (EFL_P1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
111,4,Motor Soğutma Suyu Seviyesi - Voltaj normalin altında veya şasiye (GND) kısa devre,Motor Soğutma & Termal Yönetim,65263 (EFL_P1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
111,18,Motor Soğutma Suyu Seviyesi - Veri normalin altında (Orta Seviye - Tork Sınırlandırma),Motor Soğutma & Termal Yönetim,65263 (EFL_P1),Data Valid But Below Normal - Moderate Severity,MEDIUM,"Dozaj pompası, hava tahrik valfi veya debi kısıtlamalarını giderin."
171,2,"Dış Ortam Hava Sıcaklığı - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Çevre Koşulları & İklimlendirme,65269 (AMB),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
171,3,Dış Ortam Hava Sıcaklığı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Çevre Koşulları & İklimlendirme,65269 (AMB),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
171,4,Dış Ortam Hava Sıcaklığı - Voltaj normalin altında veya şasiye (GND) kısa devre,Çevre Koşulları & İklimlendirme,65269 (AMB),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
513,2,"Gerçekleşen Motor Torku Oranı - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Motor Güç Aktarma & Tork Kontrolü,61444 (EEC1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
513,9,Gerçekleşen Motor Torku Oranı - Anormal veri güncelleme hızı (CAN Zaman Aşımı),Motor Güç Aktarma & Tork Kontrolü,61444 (EEC1),Abnormal Update Rate,LOW,Sensör veya kaynak modülün CAN-Bus hattına bağlı olduğunu ve adres aldığını (Address Claim) doğrulayın.
513,19,Gerçekleşen Motor Torku Oranı - Ağdan hatalı veri alındı (CAN Mesaj Bozulması),Motor Güç Aktarma & Tork Kontrolü,61444 (EEC1),Received Network Data In Error,LOW,Veri yolunda 120Ω hat sonlandırma direncini ve CAN-H/CAN-L sinyal gürültüsünü test edin.
524,2,"Şanzıman Seçilen Vites Pozisyonu - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Otomatik / Robotize Şanzıman (TCU),61445 (ETC2),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
524,7,Şanzıman Seçilen Vites Pozisyonu - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Otomatik / Robotize Şanzıman (TCU),61445 (ETC2),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
524,9,Şanzıman Seçilen Vites Pozisyonu - Anormal veri güncelleme hızı (CAN Zaman Aşımı),Otomatik / Robotize Şanzıman (TCU),61445 (ETC2),Abnormal Update Rate,LOW,Sensör veya kaynak modülün CAN-Bus hattına bağlı olduğunu ve adres aldığını (Address Claim) doğrulayın.
628,2,"ECU Program Belleği / Flash Checksum Hatası - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",ECU Dahili Donanım & Mikrodenetleyici,65242 (SFT),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
628,12,"ECU Program Belleği / Flash Checksum Hatası - Arızalı akıllı cihaz, mikrodenetleyici veya dahili bileşen",ECU Dahili Donanım & Mikrodenetleyici,65242 (SFT),Bad Intelligent Device Or Component,LOW,Modülün besleme voltajını teyit edin; düzelmiyorsa dahili ECU/Sensör arızasıdır.
629,12,"Ana Motor Beyni (ECU #1) Dahili Donanım Arızası - Arızalı akıllı cihaz, mikrodenetleyici veya dahili bileşen",ECU Dahili Donanım & Mikrodenetleyici,65242 (SFT),Bad Intelligent Device Or Component,LOW,Modülün besleme voltajını teyit edin; düzelmiyorsa dahili ECU/Sensör arızasıdır.
630,2,"Kalibrasyon Belleği / EEPROM Veri Bozulması - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",ECU Dahili Donanım & Mikrodenetleyici,65242 (SFT),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
630,12,"Kalibrasyon Belleği / EEPROM Veri Bozulması - Arızalı akıllı cihaz, mikrodenetleyici veya dahili bileşen",ECU Dahili Donanım & Mikrodenetleyici,65242 (SFT),Bad Intelligent Device Or Component,LOW,Modülün besleme voltajını teyit edin; düzelmiyorsa dahili ECU/Sensör arızasıdır.
639,2,"SAE J1939 Ana CAN Hattı Haberleşme Arızası - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",CAN-Bus Ağ & İletişim Hattı,65226 (DM1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
639,9,SAE J1939 Ana CAN Hattı Haberleşme Arızası - Anormal veri güncelleme hızı (CAN Zaman Aşımı),CAN-Bus Ağ & İletişim Hattı,65226 (DM1),Abnormal Update Rate,LOW,Sensör veya kaynak modülün CAN-Bus hattına bağlı olduğunu ve adres aldığını (Address Claim) doğrulayın.
639,12,"SAE J1939 Ana CAN Hattı Haberleşme Arızası - Arızalı akıllı cihaz, mikrodenetleyici veya dahili bileşen",CAN-Bus Ağ & İletişim Hattı,65226 (DM1),Bad Intelligent Device Or Component,LOW,Modülün besleme voltajını teyit edin; düzelmiyorsa dahili ECU/Sensör arızasıdır.
639,19,SAE J1939 Ana CAN Hattı Haberleşme Arızası - Ağdan hatalı veri alındı (CAN Mesaj Bozulması),CAN-Bus Ağ & İletişim Hattı,65226 (DM1),Received Network Data In Error,LOW,Veri yolunda 120Ω hat sonlandırma direncini ve CAN-H/CAN-L sinyal gürültüsünü test edin.
641,3,Turbo Değişken Geometri (VGT) Akıllı Aktüatörü - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Turboşarj Aşırı Besleme & Aktüatör,65174 (VGT1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
641,4,Turbo Değişken Geometri (VGT) Akıllı Aktüatörü - Voltaj normalin altında veya şasiye (GND) kısa devre,Turboşarj Aşırı Besleme & Aktüatör,65174 (VGT1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
641,7,Turbo Değişken Geometri (VGT) Akıllı Aktüatörü - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Turboşarj Aşırı Besleme & Aktüatör,65174 (VGT1),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
641,9,Turbo Değişken Geometri (VGT) Akıllı Aktüatörü - Anormal veri güncelleme hızı (CAN Zaman Aşımı),Turboşarj Aşırı Besleme & Aktüatör,65174 (VGT1),Abnormal Update Rate,LOW,Sensör veya kaynak modülün CAN-Bus hattına bağlı olduğunu ve adres aldığını (Address Claim) doğrulayın.
641,12,"Turbo Değişken Geometri (VGT) Akıllı Aktüatörü - Arızalı akıllı cihaz, mikrodenetleyici veya dahili bileşen",Turboşarj Aşırı Besleme & Aktüatör,65174 (VGT1),Bad Intelligent Device Or Component,LOW,Modülün besleme voltajını teyit edin; düzelmiyorsa dahili ECU/Sensör arızasıdır.
647,3,Motor Soğutma Fanı Tahrik Kavraması - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Motor Soğutma & Termal Yönetim,65213 (FDC),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
647,4,Motor Soğutma Fanı Tahrik Kavraması - Voltaj normalin altında veya şasiye (GND) kısa devre,Motor Soğutma & Termal Yönetim,65213 (FDC),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
647,5,Motor Soğutma Fanı Tahrik Kavraması - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),Motor Soğutma & Termal Yönetim,65213 (FDC),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
